symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,1,2022-11-14 00:00:00,2022-11-15 16:00:00,164.134,165.633,162.71216,166.97769,0.0656,149.9,89.48,90.26,10,time_exit,OK,32.14379,0.9479,-2.86851,0.70901,,2022
GBPJPY,1,2022-11-15 16:00:00,2022-11-15 20:00:00,165.877,164.44915,164.44915,168.7327,0.066,-142.8,-85.76,-85.78,1,stop_loss,OK,23.55609,0.9519,-0.41809,0.14994,new_york,2022
GBPJPY,1,2022-11-16 04:00:00,2022-11-17 20:00:00,165.486,166.351,164.02216,168.41368,0.0638,86.5,50.22,52.52,10,time_exit,OK,21.4017,0.97589,-0.71357,0.0733,,2022
GBPJPY,1,2022-11-29 16:00:00,2022-12-01 04:00:00,166.134,165.06147,165.06147,168.27907,0.0876,-107.3,-85.5,-81.27,9,stop_loss,OK,20.84166,0.71502,-1.33702,0.7331,new_york,2022
GBPJPY,1,2022-12-01 12:00:00,2022-12-02 08:00:00,165.647,164.43338,164.43338,168.07424,0.0766,-121.4,-84.6,-83.69,5,stop_loss,OK,20.61719,0.80908,-1.29261,0.23738,london,2022
GBPJPY,1,2022-12-19 04:00:00,2022-12-20 04:00:00,165.719,164.58326,164.58326,167.99049,0.0811,-113.6,-83.82,-82.86,6,stop_loss,OK,20.94008,0.75716,-2.04857,0.61101,,2022
GBPJPY,1,2022-12-20 04:00:00,2022-12-20 08:00:00,166.829,165.72889,165.72889,169.02922,0.0829,-110.0,-82.99,-83.02,1,stop_loss,OK,22.77664,0.73341,-0.331,0.39859,,2022
GBPJPY,1,2023-02-24 00:00:00,2023-02-27 08:00:00,161.724,163.26878,160.95161,163.26878,0.1169,154.5,164.33,168.55,8,take_profit,OK,23.75595,0.51493,0.35098,1.74121,,2023
GBPJPY,1,2023-03-08 20:00:00,2023-03-10 08:00:00,162.322,164.05454,161.45573,164.05454,0.1063,173.3,167.59,172.72,9,take_profit,OK,21.11455,0.57751,-1.21583,2.10026,new_york,2023
GBPJPY,1,2023-03-10 08:00:00,2023-03-10 20:00:00,162.928,162.03121,162.03121,164.72157,0.1048,-89.7,-85.52,-85.56,3,stop_loss,OK,20.86294,0.59786,0.19417,1.59752,london,2023
GBPJPY,1,2023-03-13 20:00:00,2023-03-15 12:00:00,161.773,160.33781,160.33781,164.64337,0.0649,-143.5,-84.76,-83.21,10,stop_loss,OK,20.11114,0.95679,-0.92353,0.79247,new_york,2023
GBPJPY,1,2023-03-16 00:00:00,2023-03-16 16:00:00,160.781,158.98652,158.98652,164.36996,0.0514,-179.4,-83.93,-83.95,4,stop_loss,OK,20.0011,1.19632,-1.39922,0.4694,,2023
GBPJPY,1,2023-03-16 20:00:00,2023-03-20 08:00:00,161.587,159.62993,159.62993,165.50114,0.0466,-195.7,-82.99,-80.74,9,stop_loss,OK,21.99301,1.30471,-0.4504,0.21551,new_york,2023
GBPJPY,1,2023-04-06 00:00:00,2023-04-07 16:00:00,163.54,164.102,162.40777,165.80446,0.0798,56.2,40.81,41.75,10,time_exit,OK,22.92891,0.75482,0.11911,1.49227,,2023
GBPJPY,1,2023-04-21 16:00:00,2023-04-24 12:00:00,165.886,167.41293,165.12254,167.41293,0.1189,152.7,165.21,169.51,5,take_profit,OK,24.82309,0.50898,-0.76953,4.1104,new_york,2023
GBPJPY,1,2023-04-26 08:00:00,2023-04-28 00:00:00,165.97,167.349,165.16703,167.57594,0.1154,137.9,144.81,150.38,10,time_exit,OK,20.90181,0.53531,-1.06448,3.64346,london,2023
GBPJPY,1,2023-05-04 04:00:00,2023-05-04 16:00:00,169.195,168.17653,168.17653,171.23194,0.0926,-101.8,-85.82,-85.85,3,stop_loss,OK,25.04762,0.67898,0.25579,4.37936,,2023
GBPJPY,1,2023-05-04 16:00:00,2023-05-08 08:00:00,169.228,170.565,168.2519,171.18021,0.0957,133.7,116.44,121.05,10,time_exit,OK,23.16358,0.65074,0.29229,4.45646,new_york,2023
GBPJPY,1,2023-05-12 00:00:00,2023-05-15 08:00:00,168.132,169.86801,167.26399,169.86801,0.1091,173.6,172.35,176.29,8,take_profit,OK,23.65966,0.57867,-2.07969,4.17908,,2023
GBPJPY,1,2023-05-15 08:00:00,2023-05-17 00:00:00,169.595,170.354,168.79477,171.19545,0.1208,75.9,83.44,86.33,10,time_exit,OK,21.49749,0.53348,0.37753,3.95466,london,2023
GBPJPY,1,2023-06-06 16:00:00,2023-06-08 08:00:00,173.336,174.357,172.56742,174.87316,0.127,102.1,118.0,124.13,10,time_exit,OK,22.79641,0.51239,0.10643,5.02617,new_york,2023
GBPJPY,1,2023-07-07 16:00:00,2023-07-10 12:00:00,183.075,182.12355,182.12355,184.97791,0.104,-95.1,-90.05,-86.29,5,stop_loss,OK,21.57649,0.6343,0.21886,6.71128,new_york,2023
GBPJPY,1,2023-07-10 20:00:00,2023-07-12 04:00:00,181.742,180.71188,180.71188,183.80224,0.0951,-103.0,-89.15,-86.87,8,stop_loss,OK,28.86514,0.68675,-1.51948,5.63483,new_york,2023
GBPJPY,1,2023-07-13 00:00:00,2023-07-14 12:00:00,179.816,181.8366,178.8057,181.8366,0.0961,202.1,176.7,177.84,9,take_profit,OK,43.37076,0.67353,-3.12519,4.22688,,2023
GBPJPY,1,2023-07-14 12:00:00,2023-07-18 04:00:00,181.482,181.308,180.46357,183.51887,0.0972,-17.4,-15.39,-10.7,10,time_exit,OK,32.72633,0.67896,-0.26517,3.46588,london,2023
GBPJPY,1,2023-08-07 04:00:00,2023-08-08 00:00:00,180.645,182.63848,179.64826,182.63848,0.0992,199.3,179.95,181.13,5,take_profit,OK,20.71928,0.66449,-1.39246,1.44555,,2023
GBPJPY,1,2023-08-23 20:00:00,2023-08-25 12:00:00,183.969,184.153,183.07771,185.75158,0.1132,18.4,18.95,24.42,10,time_exit,OK,27.3734,0.59419,-1.70616,3.76018,new_york,2023
GBPJPY,1,2023-08-25 12:00:00,2023-08-29 04:00:00,183.761,184.91,182.95257,185.37786,0.1251,114.9,130.8,136.84,10,time_exit,OK,28.77759,0.53895,-1.69233,3.34194,london,2023
GBPJPY,1,2023-09-04 04:00:00,2023-09-05 16:00:00,184.102,185.6351,183.33545,185.6351,0.1339,153.3,186.81,188.39,9,take_profit,OK,20.50397,0.51103,-1.04961,2.44717,,2023
GBPJPY,1,2023-09-07 04:00:00,2023-09-07 08:00:00,184.639,183.90552,183.90552,186.10595,0.1428,-73.3,-95.31,-95.36,1,stop_loss,OK,20.60775,0.48898,-0.36395,2.38703,,2023
GBPJPY,1,2023-09-08 00:00:00,2023-09-11 04:00:00,183.675,182.91939,182.91939,185.18623,0.1372,-75.6,-94.34,-89.39,7,stop_loss,OK,30.77825,0.50374,-1.88518,1.9384,,2023
GBPJPY,1,2023-09-11 12:00:00,2023-09-13 04:00:00,183.214,184.16,182.36504,184.91192,0.121,94.6,104.16,107.06,10,time_exit,OK,37.84399,0.56597,-2.02499,1.22202,london,2023
GBPJPY,1,2023-09-13 04:00:00,2023-09-13 08:00:00,184.048,183.27187,183.27187,185.60027,0.1338,-77.6,-94.5,-94.54,1,stop_loss,OK,31.16038,0.51742,-0.0805,0.83862,,2023
GBPJPY,1,2023-09-13 08:00:00,2023-09-14 12:00:00,184.165,183.41131,183.41131,185.67239,0.1364,-75.4,-93.55,-88.63,7,stop_loss,OK,29.09582,0.50246,0.14408,0.85938,london,2023
GBPJPY,1,2023-09-15 00:00:00,2023-09-18 16:00:00,182.977,182.983,182.20612,184.51876,0.1321,0.6,0.72,5.49,10,time_exit,OK,29.24149,0.51392,-1.84675,0.55852,,2023
GBPJPY,1,2023-09-18 16:00:00,2023-09-20 08:00:00,182.899,183.166,182.17724,184.34252,0.1412,26.7,34.31,37.69,10,time_exit,OK,25.5176,0.48117,-1.62395,0.14874,new_york,2023
GBPJPY,1,2023-11-17 16:00:00,2023-11-20 12:00:00,185.864,185.07579,185.07579,187.44042,0.1298,-78.8,-93.1,-88.41,5,stop_loss,OK,22.93952,0.52547,-0.61171,3.89597,new_york,2023
GBPJPY,1,2023-11-20 20:00:00,2023-11-21 08:00:00,185.448,184.57838,184.57838,187.18724,0.1166,-87.0,-92.27,-90.89,3,stop_loss,OK,23.64201,0.57975,-1.13214,3.18856,new_york,2023
