symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,session,year,ema_distance,trend_gap
XAUUSD,2022-01-27 12:00:00,2022-01-27 16:00:00,1816.06,1804.40656,1804.40656,1839.27688,0.849,-116.5,-98.94,-99.34,1,stop_loss,23.9,7.74896,london,2022,,
XAUUSD,2022-01-28 00:00:00,2022-01-28 12:00:00,1797.77,1783.62693,1783.62693,1824.13615,0.6925,-141.4,-97.94,-98.34,3,stop_loss,31.6,9.00205,,2022,,
XAUUSD,2022-01-31 00:00:00,2022-02-01 16:00:00,1789.54,1802.75,1778.66015,1818.1097,0.8912,132.1,117.73,117.33,10,time_exit,43.5,8.76657,,2022,,
XAUUSD,2022-02-25 20:00:00,2022-03-01 12:00:00,1887.43,1916.85,1862.06512,1938.21975,0.3869,294.2,113.83,113.43,10,time_exit,27.0,16.92325,new_york,2022,,
XAUUSD,2022-03-14 08:00:00,2022-03-15 00:00:00,1977.59,1948.2137,1948.2137,2036.1926,0.3379,-293.8,-99.26,-99.66,4,stop_loss,21.3,19.55087,london,2022,,
XAUUSD,2022-03-15 20:00:00,2022-03-16 20:00:00,1929.29,1903.62039,1903.62039,1980.62923,0.3828,-256.7,-98.26,-98.66,6,stop_loss,33.3,17.11308,new_york,2022,,
XAUUSD,2022-03-17 00:00:00,2022-03-18 16:00:00,1926.56,1928.42,1901.10638,1976.11725,0.3822,18.6,7.11,6.71,10,time_exit,42.5,16.66908,,2022,,
XAUUSD,2022-03-18 16:00:00,2022-03-22 08:00:00,1935.71,1924.71,1915.43999,1975.98002,0.4803,-110.0,-52.83,-53.23,10,time_exit,36.7,13.45334,new_york,2022,,
XAUUSD,2022-03-22 08:00:00,2022-03-22 16:00:00,1934.7,1916.76506,1916.76506,1970.65988,0.5398,-179.3,-96.81,-97.21,2,stop_loss,29.0,11.97663,london,2022,,
XAUUSD,2022-03-22 16:00:00,2022-03-24 08:00:00,1927.98,1940.85,1910.08819,1963.70362,0.5357,128.7,68.94,68.54,10,time_exit,27.4,11.91454,new_york,2022,,
XAUUSD,2022-03-24 12:00:00,2022-03-28 04:00:00,1940.85,1943.27,1925.03067,1972.48865,0.6102,24.2,14.77,14.37,10,time_exit,21.5,10.54622,london,2022,,
XAUUSD,2022-03-28 16:00:00,2022-03-28 20:00:00,1938.42,1920.98676,1920.98676,1973.37649,0.5545,-174.3,-96.67,-97.07,1,stop_loss,21.0,11.64216,new_york,2022,,
XAUUSD,2022-03-29 04:00:00,2022-03-29 12:00:00,1922.5,1904.67806,1904.67806,1958.08388,0.537,-178.2,-95.7,-96.1,2,stop_loss,25.1,11.86796,,2022,,
XAUUSD,2022-03-29 20:00:00,2022-03-31 12:00:00,1915.38,1934.08,1894.77735,1956.6153,0.4598,187.0,85.98,85.58,10,time_exit,31.3,13.74177,new_york,2022,,
XAUUSD,2022-03-31 12:00:00,2022-04-04 04:00:00,1925.08,1917.69,1907.29916,1961.09168,0.5376,-73.9,-39.73,-40.13,10,time_exit,29.6,11.95389,london,2022,,
XAUUSD,2022-04-04 04:00:00,2022-04-05 20:00:00,1925.59,1923.43,1909.32052,1958.42897,0.5851,-21.6,-12.64,-13.04,10,time_exit,20.3,10.91299,,2022,,
XAUUSD,2022-04-20 12:00:00,2022-04-22 04:00:00,1946.68,1952.32,1931.26158,1977.54685,0.6166,56.4,34.78,34.38,10,time_exit,31.7,10.28562,london,2022,,
XAUUSD,2022-04-22 08:00:00,2022-04-22 12:00:00,1952.34,1937.93401,1937.93401,1981.09197,0.6623,-144.1,-95.41,-95.81,1,stop_loss,27.4,9.59066,london,2022,,
XAUUSD,2022-04-25 12:00:00,2022-04-25 16:00:00,1916.51,1901.05207,1901.05207,1947.45587,0.611,-154.6,-94.45,-94.85,1,stop_loss,37.5,10.31196,london,2022,,
XAUUSD,2022-04-25 20:00:00,2022-04-27 12:00:00,1897.73,1896.5,1880.28767,1932.52465,0.5361,-12.3,-6.59,-6.99,10,time_exit,42.4,11.60822,new_york,2022,,
XAUUSD,2022-08-15 20:00:00,2022-08-17 12:00:00,1782.78,1770.36304,1770.36304,1807.52393,0.7525,-124.2,-93.44,-93.84,10,stop_loss,22.5,8.25798,new_york,2022,,
XAUUSD,2022-08-18 04:00:00,2022-08-19 04:00:00,1765.45,1754.05977,1754.05977,1788.20045,0.812,-113.9,-92.49,-92.89,6,stop_loss,20.9,7.58682,,2022,,
XAUUSD,2022-08-19 12:00:00,2022-08-22 08:00:00,1754.19,1743.46367,1743.46367,1775.61265,0.8536,-107.3,-91.56,-91.96,5,stop_loss,23.0,7.14422,london,2022,,
XAUUSD,2022-11-21 08:00:00,2022-11-21 16:00:00,1746.72,1734.76581,1734.76581,1770.62839,0.7583,-119.5,-90.65,-91.05,2,stop_loss,28.0,7.96946,london,2022,,
XAUUSD,2022-11-21 16:00:00,2022-11-23 08:00:00,1743.56,1739.59,1731.28383,1768.08233,0.731,-39.7,-29.02,-29.42,10,time_exit,28.6,8.17744,new_york,2022,,
XAUUSD,2022-11-23 12:00:00,2022-11-25 04:00:00,1739.64,1756.65,1728.16325,1762.4435,0.7793,170.1,132.56,132.16,10,time_exit,24.8,7.61783,london,2022,,
XAUUSD,2022-12-06 04:00:00,2022-12-07 20:00:00,1774.63,1785.98,1758.85999,1806.11002,0.5755,113.5,65.32,64.92,10,time_exit,25.3,10.50001,,2022,,
XAUUSD,2022-12-13 04:00:00,2022-12-13 12:00:00,1784.22,1807.62133,1772.51933,1807.62133,0.7813,234.0,182.83,182.43,2,take_profit,20.4,7.80044,,2022,,
XAUUSD,2022-12-15 20:00:00,2022-12-19 12:00:00,1776.98,1791.5,1761.65218,1807.12564,0.6083,145.2,88.33,87.93,10,time_exit,25.7,10.10521,new_york,2022,,
XAUUSD,2022-12-23 04:00:00,2022-12-27 16:00:00,1795.02,1820.48205,1782.27397,1820.48205,0.7384,254.6,188.01,187.61,9,take_profit,27.2,8.49068,,2022,,
XAUUSD,2022-12-28 16:00:00,2022-12-30 08:00:00,1803.78,1815.11,1791.40447,1828.62105,0.7757,113.3,87.89,87.49,10,time_exit,23.6,8.27035,new_york,2022,,
XAUUSD,2023-01-30 04:00:00,2023-01-31 08:00:00,1927.75,1913.04184,1913.04184,1956.80633,0.6586,-147.1,-96.87,-97.27,7,stop_loss,21.3,9.72544,,2023,,
XAUUSD,2023-01-31 16:00:00,2023-02-01 20:00:00,1919.7,1950.11911,1904.49044,1950.11911,0.6305,304.2,191.79,191.39,7,take_profit,25.8,10.1397,new_york,2023,,
